pos_x,pos_y,map_bank,map_num,in_battle,direction,action,q_value
9,10,0,9,0,1,0,1.4745914978836923
9,10,0,9,0,1,1,0.2098
9,10,0,9,0,1,2,0.1
9,10,0,9,0,1,3,0.0
9,10,0,9,0,1,4,0.21112361188997877
9,10,0,9,0,1,5,0.0
9,9,0,9,0,0,0,2.6704731751356654
9,9,0,9,0,0,1,0.0
9,9,0,9,0,0,2,0.5195802
9,9,0,9,0,0,3,0.0
9,9,0,9,0,0,4,0.1
9,9,0,9,0,0,5,0.1198
8,9,0,9,0,2,0,0.9194405000000001
8,9,0,9,0,2,1,0.5089
8,9,0,9,0,2,2,0.0
8,9,0,9,0,2,3,0.5037184398000001
8,9,0,9,0,2,4,0.5974859912579257
8,9,0,9,0,2,5,2.790420371327283
9,9,0,9,0,3,0,0.0
9,9,0,9,0,3,1,0.0
9,9,0,9,0,3,2,1.0844205551132189
9,9,0,9,0,3,3,0.0
9,9,0,9,0,3,4,0.0
9,9,0,9,0,3,5,0.8700126926423801
8,8,0,9,0,0,0,0.0
8,8,0,9,0,0,1,0.0
8,8,0,9,0,0,2,0.0
8,8,0,9,0,0,3,2.25561599200279
8,8,0,9,0,0,4,0.0
8,8,0,9,0,0,5,0.0
9,8,0,9,0,3,0,6.884834427362632
9,8,0,9,0,3,1,0.0
9,8,0,9,0,3,2,0.0
9,8,0,9,0,3,3,0.0
9,8,0,9,0,3,4,0.0
9,8,0,9,0,3,5,1.2570659920027896
9,7,0,9,0,0,0,10.982150714407902
9,7,0,9,0,0,1,50.50994278487076
9,7,0,9,0,0,2,4.281376058089345
9,7,0,9,0,0,3,5.9621904335218066
9,7,0,9,0,0,4,7.350484335702205
9,7,0,9,0,0,5,7.23532353290328
10,7,0,9,0,3,0,18.34556614938321
10,7,0,9,0,3,1,0.0
10,7,0,9,0,3,2,0.0
10,7,0,9,0,3,3,3.2085654681
10,7,0,9,0,3,4,0.0
10,7,0,9,0,3,5,2.3995386036592974
10,6,0,9,0,0,0,2.0890999999999997
10,6,0,9,0,0,1,4.44582718952951
10,6,0,9,0,0,2,43.35923792975498
10,6,0,9,0,0,3,5.999062102524838
10,6,0,9,0,0,4,2.0792
10,6,0,9,0,0,5,2.8909396596842463
11,6,0,9,0,3,0,5.5696526770483095
11,6,0,9,0,3,1,0.0
11,6,0,9,0,3,2,1.9173927509049296
11,6,0,9,0,3,3,11.909718207321585
11,6,0,9,0,3,4,1.8851
11,6,0,9,0,3,5,4.899000000000001
10,6,0,9,0,2,0,0.9
10,6,0,9,0,2,1,0.0
10,6,0,9,0,2,2,0.0
10,6,0,9,0,2,3,3.7883457244380407
10,6,0,9,0,2,4,0.0
10,6,0,9,0,2,5,0.0
10,5,0,9,0,0,0,2.0
10,5,0,9,0,0,1,24.961546909915715
10,5,0,9,0,0,2,0.0
10,5,0,9,0,0,3,3.4755907498618
10,5,0,9,0,0,4,15.509332468068155
10,5,0,9,0,0,5,3.1354914164858316
10,6,0,9,0,1,0,5.467586585528747
