pos_x,pos_y,map_bank,map_num,in_battle,action,q_value
9,10,0,9,0,0,0.0
9,10,0,9,0,1,0.5234452746288928
9,10,0,9,0,2,0.0
9,10,0,9,0,3,0.0
9,10,0,9,0,4,0.095
9,10,0,9,0,5,0.0
9,11,0,9,0,0,0.0
9,11,0,9,0,1,0.0
9,11,0,9,0,2,0.0
9,11,0,9,0,3,2.364413979087757
9,11,0,9,0,4,0.0
9,11,0,9,0,5,0.185
10,11,0,9,0,0,0.8591167
10,11,0,9,0,1,0.0
10,11,0,9,0,2,0.7180685753946268
10,11,0,9,0,3,0.5265367708752751
10,11,0,9,0,4,7.531784617221071
10,11,0,9,0,5,0.6977385150734499
11,11,0,9,0,0,0.0
11,11,0,9,0,1,0.0
11,11,0,9,0,2,1.2322353626003635
11,11,0,9,0,3,0.0
11,11,0,9,0,4,0.3500000000000001
11,11,0,9,0,5,0.0
10,10,0,9,0,0,1.5198704105
10,10,0,9,0,1,0.0
10,10,0,9,0,2,0.0
10,10,0,9,0,3,0.5150000000000002
10,10,0,9,0,4,0.0
10,10,0,9,0,5,0.0
11,10,0,9,0,0,0.0
11,10,0,9,0,1,0.0
11,10,0,9,0,2,0.5609850000000003
11,10,0,9,0,3,0.0
11,10,0,9,0,4,0.0
11,10,0,9,0,5,0.0
10,9,0,9,0,0,0.0
10,9,0,9,0,1,0.4454564477049999
10,9,0,9,0,2,0.0
10,9,0,9,0,3,1.4914468900000002
10,9,0,9,0,4,0.0
10,9,0,9,0,5,0.0
11,9,0,9,0,0,1.7795923350000002
11,9,0,9,0,1,0.0
11,9,0,9,0,2,0.0
11,9,0,9,0,3,0.0
11,9,0,9,0,4,0.0
11,9,0,9,0,5,0.0
11,8,0,9,0,0,2.12667743
11,8,0,9,0,1,0.0
11,8,0,9,0,2,0.0
11,8,0,9,0,3,0.0
11,8,0,9,0,4,0.0
11,8,0,9,0,5,0.0
11,7,0,9,0,0,0.0
11,7,0,9,0,1,0.0
11,7,0,9,0,2,2.6948435199999996
11,7,0,9,0,3,0.9850000000000002
11,7,0,9,0,4,0.0
11,7,0,9,0,5,0.0
12,7,0,9,0,0,1.08
12,7,0,9,0,1,0.0
12,7,0,9,0,2,0.0
12,7,0,9,0,3,0.0
12,7,0,9,0,4,0.0
12,7,0,9,0,5,0.0
12,6,0,9,0,0,0.0
12,6,0,9,0,1,0.0
12,6,0,9,0,2,1.16
12,6,0,9,0,3,1.2772485749999998
12,6,0,9,0,4,0.0
12,6,0,9,0,5,2.143925
11,6,0,9,0,0,1.255
11,6,0,9,0,1,1.3375149999999996
11,6,0,9,0,2,0.0
11,6,0,9,0,3,0.0
11,6,0,9,0,4,0.0
11,6,0,9,0,5,0.0
11,5,0,9,0,0,0.0
11,5,0,9,0,1,1.3692449999999996
11,5,0,9,0,2,0.0
11,5,0,9,0,3,0.0
11,5,0,9,0,4,1.2499999999999998
11,5,0,9,0,5,0.0
10,7,0,9,0,0,2.99190375929628
10,7,0,9,0,1,0.0
10,7,0,9,0,2,0.0
10,7,0,9,0,3,0.0
10,7,0,9,0,4,0.90958052
10,7,0,9,0,5,0.0
10,6,0,9,0,0,3.603951737672573
10,6,0,9,0,1,0.0
10,6,0,9,0,2,0.0
10,6,0,9,0,3,0.0
10,6,0,9,0,4,1.4249999999999994
10,6,0,9,0,5,0.0
10,5,0,9,0,0,0.0
10,5,0,9,0,1,0.0
10,5,0,9,0,2,10.365579272617103
10,5,0,9,0,3,0.0
10,5,0,9,0,4,1.8393899999999985
10,5,0,9,0,5,1.5149999999999992
9,5,0,9,0,0,3.648662954999993
9,5,0,9,0,1,3.702257540528973
9,5,0,9,0,2,0.0
9,5,0,9,0,3,3.2820450109485826
9,5,0,9,0,4,5.55984332407502
9,5,0,9,0,5,69.82764540219958
9,6,0,9,0,0,8.941587595492622
9,6,0,9,0,1,0.0
9,6,0,9,0,2,0.0
9,6,0,9,0,3,0.0
9,6,0,9,0,4,0.0
9,6,0,9,0,5,0.0
9,4,0,9,0,0,3.933378049999993
9,4,0,9,0,1,0.0
9,4,0,9,0,2,0.0
9,4,0,9,0,3,0.0
9,4,0,9,0,4,0.0
9,4,0,9,0,5,0.0
9,3,0,9,0,0,4.482560317622401
9,3,0,9,0,1,0.0
9,3,0,9,0,2,0.0
9,3,0,9,0,3,0.0
9,3,0,9,0,4,0.0
9,3,0,9,0,5,0.0
9,2,0,9,0,0,0.0
9,2,0,9,0,1,0.0
9,2,0,9,0,2,0.0
9,2,0,9,0,3,8.730709836764484
9,2,0,9,0,4,0.0
9,2,0,9,0,5,0.0
10,2,0,9,0,0,13.508709443014904
10,2,0,9,0,1,3.368383144999994
10,2,0,9,0,2,1.594322737442933
10,2,0,9,0,3,2.219999999999998
10,2,0,9,0,4,29.71114702994957
10,2,0,9,0,5,5.13504383015932
10,3,0,9,0,0,6.143043980445446
10,3,0,9,0,1,0.0
10,3,0,9,0,2,0.0
10,3,0,9,0,3,0.0
10,3,0,9,0,4,0.0
10,3,0,9,0,5,0.0
11,2,0,9,0,0,23.974885359748846
11,2,0,9,0,1,12.976290688571959
11,2,0,9,0,2,2.7840175499286417
11,2,0,9,0,3,5.2337485118771605
11,2,0,9,0,4,4.458927622483822
11,2,0,9,0,5,7.67347286783021
11,3,0,9,0,0,15.168152948621742
11,3,0,9,0,1,2.6849999999999947
11,3,0,9,0,2,0.0
11,3,0,9,0,3,0.0
11,3,0,9,0,4,0.0
11,3,0,9,0,5,0.0
11,1,0,9,0,0,6.849689365487295
11,1,0,9,0,1,23.21184463312474
11,1,0,9,0,2,5.802672589898451
11,1,0,9,0,3,0.0
11,1,0,9,0,4,5.033520233594995
11,1,0,9,0,5,2.878318503125902
10,1,0,9,0,0,1.2149999999999943
10,1,0,9,0,1,3.2259069058291616
10,1,0,9,0,2,0.0
10,1,0,9,0,3,12.440476044417416
10,1,0,9,0,4,64.63665178150292
10,1,0,9,0,5,5.845630953471257
12,2,0,9,0,0,0.0
12,2,0,9,0,1,2.599999999999996
12,2,0,9,0,2,7.127573545182635
12,2,0,9,0,3,2.689999999999996
12,2,0,9,0,4,0.0
12,2,0,9,0,5,0.0
12,3,0,9,0,0,2.852399999999996
12,3,0,9,0,1,0.0
12,3,0,9,0,2,0.0
12,3,0,9,0,3,0.0
12,3,0,9,0,4,0.0
12,3,0,9,0,5,0.0
13,2,0,9,0,0,2.684999999999996
13,2,0,9,0,1,0.0
13,2,0,9,0,2,2.9463099999999955
13,2,0,9,0,3,0.0
13,2,0,9,0,4,0.0
13,2,0,9,0,5,0.0
11,4,0,9,0,0,3.558854026123075
11,4,0,9,0,1,0.0
11,4,0,9,0,2,0.0
11,4,0,9,0,3,0.0
11,4,0,9,0,4,0.0
11,4,0,9,0,5,0.0
11,0,0,9,0,0,38.804271660845885
11,0,0,9,0,1,0.0
11,0,0,9,0,2,0.0
11,0,0,9,0,3,0.0
11,0,0,9,0,4,17.38293640288805
11,0,0,9,0,5,9.689174402888055
11,19,0,16,0,0,7.844999999999999
11,19,0,16,0,1,17.397436402888047
11,19,0,16,0,2,0.0
11,19,0,16,0,3,0.0
11,19,0,16,0,4,73.3872788256283
11,19,0,16,0,5,630.2325473593019
11,18,0,16,0,0,7.9399999999999995
11,18,0,16,0,1,0.0
11,18,0,16,0,2,0.0
11,18,0,16,0,3,0.0
11,18,0,16,0,4,0.0
11,18,0,16,0,5,0.0
11,17,0,16,0,0,0.0
11,17,0,16,0,1,0.0
11,17,0,16,0,2,8.015
11,17,0,16,0,3,0.0
11,17,0,16,0,4,8.715565
11,17,0,16,0,5,23.833411594064998
10,17,0,16,0,0,14.706294999999997
10,17,0,16,0,1,0.0
10,17,0,16,0,2,0.0
10,17,0,16,0,3,0.0
10,17,0,16,0,4,0.0
10,17,0,16,0,5,0.0
10,16,0,16,0,0,0.0
10,16,0,16,0,1,0.0
10,16,0,16,0,2,0.0
10,16,0,16,0,3,14.896199999999997
10,16,0,16,0,4,0.0
10,16,0,16,0,5,0.0
11,16,0,16,0,0,15.086105
11,16,0,16,0,1,0.0
11,16,0,16,0,2,0.0
11,16,0,16,0,3,0.0
11,16,0,16,0,4,0.0
11,16,0,16,0,5,0.0
11,15,0,16,0,0,15.347845389999998
11,15,0,16,0,1,0.0
11,15,0,16,0,2,0.0
11,15,0,16,0,3,0.0
11,15,0,16,0,4,0.0
11,15,0,16,0,5,0.0
11,14,0,16,0,0,31.960659700231787
11,14,0,16,0,1,0.0
11,14,0,16,0,2,46.43903660062597
11,14,0,16,0,3,16.534547936807666
11,14,0,16,0,4,320.45904675885447
11,14,0,16,0,5,24.414659700231784
10,14,0,16,0,0,288.63768975944646
10,14,0,16,0,1,78.80878214309406
10,14,0,16,0,2,214.43063781934808
10,14,0,16,0,3,40.79774507770996
10,14,0,16,0,4,426.33277008200537
10,14,0,16,0,5,1030.4392057714701
9,14,0,16,0,0,985.9678940538626
9,14,0,16,0,1,0.0
9,14,0,16,0,2,366.9485498899744
9,14,0,16,0,3,283.0515467906321
9,14,0,16,0,4,147.49425255959747
9,14,0,16,0,5,117.89954313496301
8,14,0,16,0,0,1315.5507859343836
8,14,0,16,0,1,78.5044598192543
8,14,0,16,0,2,18.61897313419003
8,14,0,16,0,3,319.7920779031205
8,14,0,16,0,4,652.569480607417
8,14,0,16,0,5,331.59020558867263
8,15,0,16,0,0,395.3704021651817
8,15,0,16,0,1,18.241318887610056
8,15,0,16,0,2,0.0
8,15,0,16,0,3,0.0
8,15,0,16,0,4,8.640000000000011
8,15,0,16,0,5,9.490360000000013
7,14,0,16,0,0,36.035122072267015
7,14,0,16,0,1,8.885000000000014
7,14,0,16,0,2,9.10000000000002
7,14,0,16,0,3,0.0
7,14,0,16,0,4,0.0
7,14,0,16,0,5,0.0
7,13,0,16,0,0,0.0
7,13,0,16,0,1,38.66611421070557
7,13,0,16,0,2,0.0
7,13,0,16,0,3,8.805000000000012
7,13,0,16,0,4,0.0
7,13,0,16,0,5,0.0
7,15,0,16,0,0,0.0
7,15,0,16,0,1,18.02853798000003
7,15,0,16,0,2,0.0
7,15,0,16,0,3,10.483928157677017
7,15,0,16,0,4,0.0
7,15,0,16,0,5,0.0
7,16,0,16,0,0,19.627443260020037
7,16,0,16,0,1,0.0
7,16,0,16,0,2,0.0
7,16,0,16,0,3,0.0
7,16,0,16,0,4,0.0
7,16,0,16,0,5,0.0
8,16,0,16,0,0,20.36242591178273
8,16,0,16,0,1,0.0
8,16,0,16,0,2,0.0
8,16,0,16,0,3,0.0
8,16,0,16,0,4,0.0
8,16,0,16,0,5,0.0
6,14,0,16,0,0,9.19500000000002
6,14,0,16,0,1,0.0
6,14,0,16,0,2,0.0
6,14,0,16,0,3,0.0
